currencyCode,unitPrice,location,effectiveStartDate,meterName,productName,serviceName,unitOfMeasure,type,reservationTerm,armSkuName,isPrimaryMeterRegion,CPU-cores
EUR,3.3989,DE West Central,2024-05-01T00:00:00Z,NC80adisH100v5 Low Priority,Virtual Machines NCadsH100v5 Series,Virtual Machines,1 Hour,Consumption,,Standard_NC80adis_H100_v5,True,80.0
EUR,0.3418,DE West Central,2023-10-01T00:00:00Z,DC8ds_v3 Low Priority,DCdsv3 Series Windows,Virtual Machines,1 Hour,Consumption,,Standard_DC8ds_v3,True,8.0
EUR,0.1021,DE West Central,2023-10-01T00:00:00Z,DC8ds_v3 Low Priority,DCdsv3 Series Windows,Virtual Machines,1 Hour,DevTestConsumption,,Standard_DC8ds_v3,True,8.0
EUR,0.0222,DE North,2024-05-01T00:00:00Z,E2as v4 Spot,Virtual Machines Easv4 Series,Virtual Machines,1 Hour,Consumption,,Standard_E2as_v4,True,2.0
EUR,0.0365,DE North,2024-05-01T00:00:00Z,D4ads v5 Spot,Virtual Machines Dadsv5 Series,Virtual Machines,1 Hour,Consumption,,Standard_D4ads_v5,True,4.0
EUR,1.1429,DE North,2024-05-01T00:00:00Z,E64ds v4 Spot,Virtual Machines Edsv4 Series Windows,Virtual Machines,1 Hour,Consumption,,Standard_E64ds_v4,True,64.0
EUR,0.8121,DE North,2024-05-01T00:00:00Z,E64ds v4 Spot,Virtual Machines Edsv4 Series Windows,Virtual Machines,1 Hour,DevTestConsumption,,Standard_E64ds_v4,True,64.0
EUR,8.911,DE North,2023-10-01T00:00:00Z,E64-16ads v5,Eadsv5 Series CloudServices,Virtual Machines,1 Hour,Consumption,,Standard_E64-16ads_v5,True,16.0
EUR,6.5019,DE West Central,2023-10-01T00:00:00Z,D64ads v5,Dadsv5 Series Cloud Services,Virtual Machines,1 Hour,Consumption,,Standard_D64ads_v5,True,64.0
EUR,0.0637,DE West Central,2023-09-01T00:00:00Z,B8ls v2 Low Priority,Virtual Machines Bsv2 Series,Virtual Machines,1 Hour,Consumption,,Standard_B8ls_v2,True,8.0
EUR,0.1124,DE West Central,2023-10-01T00:00:00Z,L8s v3 Spot,Virtual Machines Lsv3 Series Windows,Virtual Machines,1 Hour,Consumption,,Standard_L8s_v3,True,8.0
EUR,0.0779,DE West Central,2023-04-01T00:00:00Z,L8s v3 Spot,Virtual Machines Lsv3 Series Windows,Virtual Machines,1 Hour,DevTestConsumption,,Standard_L8s_v3,True,8.0
EUR,1.824,DE West Central,2024-02-01T00:00:00Z,NV16as v4,Virtual Machines NVasv4 Series Windows,Virtual Machines,1 Hour,Consumption,,Standard_NV16as_v4,True,16.0
EUR,1.1348,DE West Central,2024-02-01T00:00:00Z,NV16as v4,Virtual Machines NVasv4 Series Windows,Virtual Machines,1 Hour,DevTestConsumption,,Standard_NV16as_v4,True,16.0
EUR,2.7444,DE West Central,2023-10-01T00:00:00Z,E64-32as v5 Low Priority,Easv5 Series CloudServices,Virtual Machines,1 Hour,Consumption,,Standard_E64-32as_v5,True,32.0
EUR,0.1451,DE West Central,2023-04-01T00:00:00Z,D16ls v5 Low Priority,Virtual Machines Dlsv5 Series,Virtual Machines,1 Hour,Consumption,,Standard_D16ls_v5,True,16.0
EUR,0.0266,DE West Central,2024-02-01T00:00:00Z,DS2 v2 Spot,Virtual Machines DSv2 Series Windows,Virtual Machines,1 Hour,Consumption,,Standard_DS2_v2,True,
EUR,0.0148,DE West Central,2023-09-01T00:00:00Z,DS2 v2 Spot,Virtual Machines DSv2 Series Windows,Virtual Machines,1 Hour,DevTestConsumption,,Standard_DS2_v2,True,
EUR,9.2594,DE West Central,2023-11-01T00:00:00Z,Standard_M416s_8_v2 Spot,Virtual Machines MSv2 Series Windows,Virtual Machines,1 Hour,Consumption,,Standard_M416s_8_v2,True,416.0
EUR,7.4672,DE West Central,2023-11-01T00:00:00Z,Standard_M416s_8_v2 Spot,Virtual Machines MSv2 Series Windows,Virtual Machines,1 Hour,DevTestConsumption,,Standard_M416s_8_v2,True,416.0
EUR,0.3249,DE North,2023-12-01T00:00:00Z,P1mv3 App,Azure App Service Premium v3 Plan,Azure App Service,1 Hour,Consumption,,Standard_P1_mv3_Windows,True,1.0
EUR,0.117,DE North,2023-12-01T00:00:00Z,P1mv3 App,Azure App Service Premium v3 Plan,Azure App Service,1 Hour,DevTestConsumption,,Standard_P1_mv3_Windows,True,1.0
EUR,2116.1049,DE North,2023-12-01T00:00:00Z,P1mv3 App,Azure App Service Premium v3 Plan,Azure App Service,1 Hour,Reservation,1 Year,Standard_P1_mv3_Windows,True,1.0
EUR,6105.8052,DE North,2024-03-01T00:00:00Z,P1mv3 App,Azure App Service Premium v3 Plan,Azure App Service,1 Hour,Reservation,3 Years,Standard_P1_mv3_Windows,True,1.0
EUR,0.9045,DE North,2023-10-01T00:00:00Z,DC8s_v3,DCsv3 Series Windows,Virtual Machines,1 Hour,Consumption,,Standard_DC8s_v3,True,8.0
EUR,0.5599,DE North,2023-10-01T00:00:00Z,DC8s_v3,DCsv3 Series Windows,Virtual Machines,1 Hour,DevTestConsumption,,Standard_DC8s_v3,True,8.0
EUR,5.8727,DE West Central,2024-04-01T00:00:00Z,D64a v4/D64as v4,Virtual Machines Dav4 Series Windows,Virtual Machines,1 Hour,Consumption,,Standard_D64a_v4,True,64.0
EUR,3.1161,DE West Central,2024-04-01T00:00:00Z,D64a v4/D64as v4,Virtual Machines Dav4 Series Windows,Virtual Machines,1 Hour,DevTestConsumption,,Standard_D64a_v4,True,64.0
EUR,0.1601,DE West Central,2023-09-01T00:00:00Z,B4als v2,Virtual Machines Basv2 Series Windows,Virtual Machines,1 Hour,Consumption,,Standard_B4als_v2,True,4.0
EUR,0.1433,DE West Central,2023-09-01T00:00:00Z,B4als v2,Virtual Machines Basv2 Series Windows,Virtual Machines,1 Hour,DevTestConsumption,,Standard_B4als_v2,True,4.0
EUR,0.0506,DE North,2024-05-01T00:00:00Z,E4-2ds v5 Spot,Virtual Machines Edsv5 Series,Virtual Machines,1 Hour,Consumption,,Standard_E4-2ds_v5,True,2.0
EUR,0.2154,DE West Central,2023-06-01T00:00:00Z,E20pds v5 Spot,Virtual Machines Epdsv5 Series Windows,Virtual Machines,1 Hour,Consumption,,Standard_E20pds_v5,True,20.0
EUR,0.1292,DE West Central,2023-06-01T00:00:00Z,E20pds v5 Spot,Virtual Machines Epdsv5 Series Windows,Virtual Machines,1 Hour,DevTestConsumption,,Standard_E20pds_v5,True,20.0
EUR,0.0828,DE West Central,2024-05-01T00:00:00Z,NC4as T4 v3 Spot,Virtual Machines NCasT4 v3 Series Windows,Virtual Machines,1 Hour,Consumption,,Standard_NC4as_T4_v3,True,4.0
EUR,0.0616,DE West Central,2023-12-01T00:00:00Z,NC4as T4 v3 Spot,Virtual Machines NCasT4 v3 Series Windows,Virtual Machines,1 Hour,DevTestConsumption,,Standard_NC4as_T4_v3,True,4.0
EUR,0.7491,DE West Central,2023-10-01T00:00:00Z,E16-4ads v5 Low Priority,Eadsv5 Series CloudServices,Virtual Machines,1 Hour,Consumption,,Standard_E16-4ads_v5,True,4.0
EUR,0.018,DE West Central,2023-09-01T00:00:00Z,B2ps v2 Spot,Virtual Machines Bpsv2 Series,Virtual Machines,1 Hour,Consumption,,Standard_B2ps_v2,True,2.0
EUR,0.3202,DE North,2024-05-01T00:00:00Z,E32-16as v5 Spot,Virtual Machines Easv5 Series,Virtual Machines,1 Hour,Consumption,,Standard_E32-16as_v5,True,16.0
EUR,0.0888,DE North,2024-05-01T00:00:00Z,E8-2s v3 Spot,Virtual Machines ESv3 Series,Virtual Machines,1 Hour,Consumption,,Standard_E8-2s_v3,True,2.0
EUR,0.0285,DE West Central,2023-07-01T00:00:00Z,E4s v4 Spot,Virtual Machines Esv4 Series,Virtual Machines,1 Hour,Consumption,,Standard_E4s_v4,True,4.0
EUR,0.0265,DE North,2024-05-01T00:00:00Z,D2lds v5 Spot,Virtual Machines Dldsv5 Series Windows,Virtual Machines,1 Hour,Consumption,,Standard_D2lds_v5,True,2.0
EUR,0.0162,DE North,2024-05-01T00:00:00Z,D2lds v5 Spot,Virtual Machines Dldsv5 Series Windows,Virtual Machines,1 Hour,DevTestConsumption,,Standard_D2lds_v5,True,2.0
EUR,0.8034,DE North,2023-09-01T00:00:00Z,B32s v2 Low Priority,Bsv2 Series Cloud Services,Virtual Machines,1 Hour,Consumption,,Standard_B32s_v2,True,32.0
EUR,1.893,DE North,2024-05-01T00:00:00Z,E96bds v5 Spot,Virtual Machines Ebdsv5 Series Windows,Virtual Machines,1 Hour,Consumption,,Standard_E96bds_v5,True,96.0
EUR,1.3964,DE North,2024-05-01T00:00:00Z,E96bds v5 Spot,Virtual Machines Ebdsv5 Series Windows,Virtual Machines,1 Hour,DevTestConsumption,,Standard_E96bds_v5,True,96.0
EUR,0.2428,DE North,2024-05-01T00:00:00Z,E16as v5 Spot,Virtual Machines Easv5 Series Windows,Virtual Machines,1 Hour,Consumption,,Standard_E16as_v5,True,16.0
EUR,0.1601,DE North,2024-05-01T00:00:00Z,E16as v5 Spot,Virtual Machines Easv5 Series Windows,Virtual Machines,1 Hour,DevTestConsumption,,Standard_E16as_v5,True,16.0
